file	sentence	entity(E) or predicate(P)	 coref chain	indices	
fresno_shooting.txt.xml	41	E	5	10
fresno_shooting.txt.xml	41	E	10	10, 11, 12
fresno_shooting.txt.xml	42	E	3	12, 13, 14
fresno_shooting.txt.xml	42	E	5	12
fresno_shooting.txt.xml	43	E	5	11
fresno_shooting.txt.xml	43	E	8	11, 12, 13
fresno_shooting.txt.xml	45	E	5	7
fresno_shooting.txt.xml	46	E	5	13
fresno_shooting.txt.xml	47	E	5	1, 2
fresno_shooting.txt.xml	48	E	5	12
fresno_shooting.txt.xml	49	E	5	11, 12
fresno_shooting.txt.xml	50	E	7	4, 5, 6, 7, 8
fresno_shooting.txt.xml	50	E	5	6
fresno_shooting.txt.xml	50	E	9	11, 12
fresno_shooting.txt.xml	50	E	9	14
fuel_tanker.txt.xml	2	E	8	1, 2, 3
fuel_tanker.txt.xml	2	E	9	6
fuel_tanker.txt.xml	4	E	1	1, 2, 3, 4, 5
fuel_tanker.txt.xml	4	E	10	1, 2
fuel_tanker.txt.xml	5	E	9	9
fuel_tanker.txt.xml	6	E	3	8, 9, 10
fuel_tanker.txt.xml	7	E	3	1, 2, 3
fuel_tanker.txt.xml	7	E	9	6
fuel_tanker.txt.xml	9	E	9	12
fuel_tanker.txt.xml	10	E	5	5, 6
fuel_tanker.txt.xml	10	E	9	5
fuel_tanker.txt.xml	11	E	8	1, 2, 3
fuel_tanker.txt.xml	11	E	9	6
fuel_tanker.txt.xml	12	E	10	1, 2
fuel_tanker.txt.xml	12	E	2	4, 5, 6
fuel_tanker.txt.xml	12	E	5	8
fuel_tanker.txt.xml	12	E	6	9, 10, 11
fuel_tanker.txt.xml	12	E	7	14, 15, 16, 17
fuel_tanker.txt.xml	16	E	10	1, 2
fuel_tanker.txt.xml	17	E	9	3
fuel_tanker.txt.xml	18	E	10	1, 2
fuel_tanker.txt.xml	18	E	9	9
fuel_tanker.txt.xml	19	E	9	24
fuel_tanker.txt.xml	20	E	9	1
fuel_tanker.txt.xml	21	E	9	7
fuel_tanker.txt.xml	23	E	4	1, 2, 3, 4, 5
fuel_tanker.txt.xml	24	E	4	4, 5, 6
fuel_tanker.txt.xml	25	E	10	7, 8, 9
fuel_tanker.txt.xml	26	E	10	13, 14
fuel_tanker.txt.xml	27	E	1	10, 11, 12, 13, 14
fuel_tanker.txt.xml	27	E	9	14
fuel_tanker.txt.xml	29	E	9	11
fuel_tanker.txt.xml	31	E	2	1, 2, 3
fuel_tanker.txt.xml	31	E	5	5
fuel_tanker.txt.xml	31	E	6	6, 7, 8
fuel_tanker.txt.xml	31	E	7	11, 12, 13, 14
fuel_tanker.txt.xml	32	E	11	1, 2, 3
fuel_tanker.txt.xml	32	E	11	8
hurricane_sandy.txt.xml	1	E	4	1, 2
hurricane_sandy.txt.xml	2	E	4	1, 2, 3
hurricane_sandy.txt.xml	4	E	2	1, 2
hurricane_sandy.txt.xml	5	E	2	5, 6
hurricane_sandy.txt.xml	7	E	4	1, 2, 3
hurricane_sandy.txt.xml	7	E	3	8, 9
hurricane_sandy.txt.xml	7	E	5	8, 9, 10, 11, 12, 13
hurricane_sandy.txt.xml	7	E	2	12, 13
hurricane_sandy.txt.xml	8	E	4	1, 2
hurricane_sandy.txt.xml	8	E	4	5, 6, 7
hurricane_sandy.txt.xml	10	E	2	5, 6
hurricane_sandy.txt.xml	10	E	6	5, 6, 7, 8
hurricane_sandy.txt.xml	10	E	7	8
hurricane_sandy.txt.xml	10	E	4	18, 19
hurricane_sandy.txt.xml	11	E	4	6, 7, 8, 9, 10, 11
hurricane_sandy.txt.xml	11	E	4	9, 10, 11
hurricane_sandy.txt.xml	11	E	5	15, 16, 17, 18, 19, 20
hurricane_sandy.txt.xml	11	E	2	19, 20
hurricane_sandy.txt.xml	12	E	4	1, 2
hurricane_sandy.txt.xml	12	E	3	8
hurricane_sandy.txt.xml	14	E	4	1, 2
hurricane_sandy.txt.xml	14	E	2	8
hurricane_sandy.txt.xml	15	E	4	1
hurricane_sandy.txt.xml	16	E	2	1, 2
hurricane_sandy.txt.xml	17	E	4	1, 2
hurricane_sandy.txt.xml	17	E	3	7, 8, 9
hurricane_sandy.txt.xml	17	E	2	10
hurricane_sandy.txt.xml	18	E	4	1, 2, 3, 4, 5, 6, 7
hurricane_sandy.txt.xml	19	E	4	3, 4
hurricane_sandy.txt.xml	20	E	4	1, 2, 3
hurricane_sandy.txt.xml	21	E	4	1, 2, 3, 4, 5, 6
hurricane_sandy.txt.xml	21	E	2	18, 19
hurricane_sandy.txt.xml	22	E	2	13, 14
hurricane_sandy.txt.xml	22	E	3	16, 17
hurricane_sandy.txt.xml	24	E	7	5
hurricane_sandy.txt.xml	26	E	4	1
hurricane_sandy.txt.xml	26	E	2	5, 6
hurricane_sandy.txt.xml	27	E	4	1, 2
hurricane_sandy.txt.xml	28	E	2	2, 3
hurricane_sandy.txt.xml	28	E	4	6
hurricane_sandy.txt.xml	29	E	4	6, 7
hurricane_sandy.txt.xml	30	E	7	21
hurricane_sandy.txt.xml	31	E	3	1, 2
hurricane_sandy.txt.xml	31	E	4	8, 9
hurricane_sandy.txt.xml	33	E	4	1
hurricane_sandy.txt.xml	33	E	1	3, 4, 5, 6
hurricane_sandy.txt.xml	33	E	3	5, 6
hurricane_sandy.txt.xml	34	E	4	1, 2
hurricane_sandy.txt.xml	35	E	4	1, 2
hurricane_sandy.txt.xml	35	E	1	4, 5, 6, 7
hurricane_sandy.txt.xml	35	E	3	6, 7
hurricane_sandy.txt.xml	36	E	4	1, 2
hurricane_sandy.txt.xml	37	E	4	8
hurricane_sandy.txt.xml	37	E	2	16, 17
hurricane_sandy.txt.xml	37	E	3	19, 20
hurricane_sandy.txt.xml	39	E	4	1, 2, 3, 4, 5
hurricane_sandy.txt.xml	39	E	5	4, 5
hurricane_sandy.txt.xml	40	E	2	7, 8
hurricane_sandy.txt.xml	40	E	4	17
hurricane_sandy.txt.xml	41	E	4	7, 8
hurricane_sandy.txt.xml	41	E	3	13, 14
hurricane_sandy.txt.xml	41	E	5	13, 14, 15
hurricane_sandy.txt.xml	42	E	6	5, 6
hurricane_sandy.txt.xml	44	E	2	1, 2
hurricane_sandy.txt.xml	44	E	3	4, 5
prison_officer.txt.xml	1	E	3	6, 7
prison_officer.txt.xml	1	E	5	9, 10
prison_officer.txt.xml	5	E	2	1, 2
prison_officer.txt.xml	6	E	5	15, 16, 17, 18, 19, 20, 21, 22, 23
prison_officer.txt.xml	6	E	3	18, 19
prison_officer.txt.xml	6	E	6	18, 19, 20, 21, 22, 23
prison_officer.txt.xml	7	E	3	13, 14, 15
prison_officer.txt.xml	8	E	3	7, 8
prison_officer.txt.xml	10	E	3	1, 2
prison_officer.txt.xml	13	E	3	3, 4
prison_officer.txt.xml	14	E	3	1, 2
prison_officer.txt.xml	17	E	5	12, 13, 14, 15, 16
prison_officer.txt.xml	17	E	2	15, 16
prison_officer.txt.xml	18	E	1	4
prison_officer.txt.xml	18	E	1	18
prison_officer.txt.xml	19	E	2	1, 2, 3
prison_officer.txt.xml	20	E	3	1, 2
prison_officer.txt.xml	22	E	3	8, 9
prison_officer.txt.xml	24	E	3	10, 11
prison_officer.txt.xml	24	E	4	16
prison_officer.txt.xml	25	E	3	9, 10
prison_officer.txt.xml	27	E	5	16, 17, 18, 19, 20, 21, 22, 23, 24
prison_officer.txt.xml	27	E	3	19, 20
prison_officer.txt.xml	27	E	6	19, 20, 21, 22, 23, 24
prison_officer.txt.xml	30	E	4	7
syria_bombs.txt.xml	3	E	5	12
syria_bombs.txt.xml	15	E	1	2, 3, 4, 5, 6
syria_bombs.txt.xml	15	E	2	10
syria_bombs.txt.xml	16	E	1	1, 2, 3, 4, 5
syria_bombs.txt.xml	17	E	3	8, 9
syria_bombs.txt.xml	18	E	6	7, 8
syria_bombs.txt.xml	20	E	5	13
syria_bombs.txt.xml	22	E	3	6, 7
syria_bombs.txt.xml	23	E	1	2, 3, 4, 5, 6
syria_bombs.txt.xml	23	E	2	10
syria_bombs.txt.xml	24	E	4	1, 2, 3, 4, 5
syria_bombs.txt.xml	24	E	4	8
syria_bombs.txt.xml	31	E	5	3
syria_bombs.txt.xml	31	E	6	5
syria_bombs.txt.xml	35	E	3	6, 7
syrian_plane.txt.xml	1	E	2	1
syrian_plane.txt.xml	1	E	6	1, 2
syrian_plane.txt.xml	1	E	6	6, 7, 8, 9, 10, 11, 12, 13
syrian_plane.txt.xml	1	E	4	13
syrian_plane.txt.xml	2	E	1	1
syrian_plane.txt.xml	2	E	4	4
syrian_plane.txt.xml	3	E	4	1
syrian_plane.txt.xml	3	E	2	5
syrian_plane.txt.xml	4	E	4	8
syrian_plane.txt.xml	5	E	4	1, 2
syrian_plane.txt.xml	5	E	1	16
syrian_plane.txt.xml	6	E	4	8
syrian_plane.txt.xml	7	E	4	1
syrian_plane.txt.xml	8	E	4	5
syrian_plane.txt.xml	9	E	6	4, 5, 6
syrian_plane.txt.xml	9	E	8	6
syrian_plane.txt.xml	9	E	4	11
syrian_plane.txt.xml	9	E	2	16
syrian_plane.txt.xml	10	E	8	9
syrian_plane.txt.xml	10	E	5	12
syrian_plane.txt.xml	12	E	2	1
syrian_plane.txt.xml	12	E	7	1, 2, 3
syrian_plane.txt.xml	12	E	4	8
syrian_plane.txt.xml	13	E	8	1
syrian_plane.txt.xml	13	E	8	10
syrian_plane.txt.xml	13	E	5	21
syrian_plane.txt.xml	15	E	4	1
syrian_plane.txt.xml	15	E	8	9
syrian_plane.txt.xml	15	E	5	13
syrian_plane.txt.xml	16	E	5	1
syrian_plane.txt.xml	17	E	4	1
syrian_plane.txt.xml	17	E	4	7
syrian_plane.txt.xml	17	E	4	10
syrian_plane.txt.xml	18	E	4	4
syrian_plane.txt.xml	20	E	4	10
syrian_plane.txt.xml	21	E	4	1
syrian_plane.txt.xml	22	E	4	1
syrian_plane.txt.xml	23	E	4	1
syrian_plane.txt.xml	23	E	2	3
syrian_plane.txt.xml	25	E	4	1
syrian_plane.txt.xml	26	E	4	1
syrian_plane.txt.xml	26	E	2	3
syrian_plane.txt.xml	26	E	7	3, 4, 5
syrian_plane.txt.xml	26	E	5	9
syrian_plane.txt.xml	27	E	4	1
syrian_plane.txt.xml	28	E	4	1
syrian_plane.txt.xml	28	E	8	8
syrian_plane.txt.xml	29	E	2	1
syrian_plane.txt.xml	29	E	3	1, 2
syrian_plane.txt.xml	29	E	3	6, 7, 8, 9, 10, 11, 12, 13
syrian_plane.txt.xml	29	E	4	13
syrian_plane.txt.xml	30	E	4	1
